"titulo","empresa","ubicacion","salario","descripcion","url"
"Growth Optimization Lead - CRO and Marketing Automation","Go Bravo","Miguel Hidalgo, Ciudad de México DF","$ 40,000.00","About Bravo:Bravo is a fintech company with 15 years of experience helping people in Latin America and Europe improve their financial health. With operations in 6 countries and a strong acquisition engine, we are committed to innovation, scale, and impact. Were now looking for someone to take conversion and lead nurturing to the next level.Role Overview:Were looking for a strategic and analytical Growth Optimization Lead who can drive impact across two critical areas: Conversion Rate Optimization (CRO) and Marketing Automation. Youll be responsible for improving lead-to-client conversion by optimizing our web funnel and boosting our automation flows to move leads down the funnel efficiently. You wont be aloneyoull lead through collaboration with two highly capable teammates:Aldo, our technical CRO implementer (web development, tracking, events)Marcos, who leads marketing automation across all countriesThis is not a design or UI role. You wont manage designers or be responsible for visual assets. This is a data-informed, performance-driven, execution-focused role.Key Responsibilities:Own and lead the CRO roadmap: prioritize tests and improvements to landing pages and formsWork closely with Aldo to implement A/B tests, tracking, and performance enhancementsCollaborate with product and engineering to unlock improvements (site speed, UX bugs, event tracking)Identify and launch marketing automation opportunities (lead scoring, nurturing, email journeys, WhatsApp flows)Coordinate with Marcos to improve lead conversion through automation, especially in Mexico and potentially ColombiaTrack performance KPIs: conversion rate, open rate, click-through rate, cost per qualified leadBring an experimental mindsetrun and learn from data-driven experimentsAct as a bridge between marketing, tech, and product to keep growth priorities alignedWhat Were Looking For:36 years of experience in digital growth, CRO, marketing automation, or product growthStrong understanding of landing page best practices, tracking, and A/B testing tools (GA4, GTM, Hotjar, Optimize, etc.)Experience working with email/CRM tools like Iterable, Braze, HubSpot, or similarAnalytical mindset with ability to extract actionable insights from performance dataExcellent project management and prioritization skillsAbility to work cross-functionally with developers, marketers, and product teamsBonus: Experience in fintech, financial services, or lead generation companiesBonus: SQL or light technical background (not required but valued)What We Offer:The opportunity to lead high-impact projects across key growth leversA collaborative, high-performance culture that values ownership and experimentationCareer path growth opportunitiesCompetitive salary and benefitsHybrid work environment (some on-site presence in Mexico City required)","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-growth-optimization-lead-cro-and-marketing-automation-en-miguel-hidalgo-8A0A7155ECC9F3F561373E686DCF3405#lc=ListOffers-Score3-18"
"Developer Front End","Importante empresa del sector","Miguel Hidalgo, Ciudad de México DF","$ 25,000.00","Intégrate a una empresa con más de 35 años en el mercado, genera estabilidad y crecimiento profesional como: Developer FrontEnd.Descripción del PuestoEl desarrollador frontend se encarga de crear la interfaz de un sitio web o aplicación a través de código Para este proyecto el candidato debe de contar con el conocimiento necesario para poder darle mantenimiento a una aplicación web desarrollada en Angular 7.Actividades Principales1: Brindar la atención a los usuarios que presenten incidencias en el uso de la plataforma para resolver dichas incidencias2: Mantener Actualizados las librerías utilizadas por las diversas plataformas Web3: Mantener Actualizadas las diversas versiones sobre las cuales están construidas las plataformas como por ejemplo Versiones de Angular, Versiones de Firebase 4:Robustecer la seguridad actual de las aplicaciones por medio de ofuscamiento de código, implementación de tokens de Seguridad, encriptación de la información, y Best Practices que recomienda Google.5: Optimizar los procesos que hoy se tienen implementados que están más propensos a sufrir fallas, como por ejemplo la sincronización de información6: Elaboración de pruebas unitarias para robustecer la calidad de las plataformas, Mobile7: Modificaciones en la arquitectura de las aplicaciones que nos permita tener modularidad8: Robustecer la Aplicación Web para evitar errores en la captura de información. 9:Robustecer la calidad de la información que se registra dentro de la base de datos mediante puntos de control.Skills TécnicasRequerido: Angular, Observables, RXJS, NgZorro, Bootstrap, HTML%, CSS, Firebase DataBase, Firebase Cloud Functions, React.JS, Next.JSDeseable: Firebase Hosting, REDUXOfrecemos:Lunes a Viernes de 9:00 a 6:00Zona Polanco en un esquema HíbridoSueldo base neto $30,000 neto al mes + prestaciones de ley","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-developer-front-end-en-miguel-hidalgo-9014778E2FE3818161373E686DCF3405#lc=ListOffers-Score3-19"
"Night Shift Technical Support Agent (Bilingual) - MXN 19K Salary","Importante empresa del sector","Cuauhtémoc, Ciudad de México DF","$ 16,000.00","Night Owl Opportunity: Tier 1 Technical Support Agent (Overnight Shift)Are you ready to become part of a thriving corporate environment with an international scope? GlobalTech Corporation, a leader in providing technological solutions for the U.S. tax sector, is looking for dedicated professionals for our Tier 1 Technical Support team. This role focuses on delivering exceptional service and resolving technical incidents for our corporate clients.Your Role and Responsibilities:• Provide first-level technical support and resolve incidents remotely.• Accurately log all case details in our ticketing system.• Ensure timely follow-up on service requests and escalate complex problems when necessary.• Maintain a clear, professional, and solution-driven user experience for all clients.• Collaborate effectively with cross-functional technical and operational teams.Ideal Candidate Profile:• Education: High school diploma (minimum); a Bachelor's degree or technical certification is preferred.• Language: Advanced English (C1 level is essential).• Experience: Minimum of 6 months to 1 year of proven experience in technical support or customer service.• Technical Skills: Basic knowledge of ticketing platforms, remote support tools, and various digital applications.• Key Skills: Strong communication, organizational, and customer-centric abilities.• Work Schedule: Availability to work Monday to Friday, from 12:00 AM to 7:00 AM (Overnight Shift).Benefits & Compensation:• Comprehensive Monthly Salary: $19,000 MXN (night bonus already included).• Direct Hire: Immediate direct hiring by GlobalTech Corporation.• Training: Full initial technical training provided to ensure your success.• Stability & Growth: Enjoy job stability with clear opportunities for professional advancement.• Work Environment: A supportive and excellent work environment.• Payment: Punctual bi-weekly payments.Work Location:• Alcaldía Miguel Hidalgo, CDMX• Modality: On-site.• Availability: Immediate.Take the next step in your tech career. Apply for our Overnight Support role!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-night-shift-technical-support-agent-bilingual-mxn-19k-salary-en-cuauhtemoc-1440B2DA4C9445AB61373E686DCF3405#lc=ListOffers-Score3-0"
"Work From Home Shopify Engineer / Ref. 0176","BairesDev LLC","Aguascalientes, Aguascalientes","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Shopify Engineer at BairesDevWe are looking for a Shopify Engineer to join our Development team and help the client take its eCommerce platform to the next level. The Shopify Engineer will be responsible for designing, developing, and maintaining the clients Shopify website and integrations with other systems. This is an excellent opportunity for those professionals looking to develop in one of the fastest-growing companies in the industry!What You Will Do:- Collaborate with the eCommerce team to understand business requirements and translate them into technical solutions.- Design and implement custom Shopify themes and templates.- Build and maintain custom Shopify apps and plugins.- Integrate Shopify with other systems such as CRM, ERP, and payment gateways.- Ensure website performance and security are optimized.- Troubleshoot and resolve website issues.Heres what we are looking for:- 3+ years of experience with Shopify Liquid.- 2+ years of experience with a JS Framework (React, NextJS, VueJS, etc).- Proven track record in Shopify App development.- Shopify headless architecture experience (stores/apps) is desirable, but not mandatory.- Upper English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-shopify-engineer-ref-0176-en-aguascalientes-E73911D6D1CFC2E461373E686DCF3405#lc=ListOffers-Score3-1"
"Web master","Mia hotels and Resorts","Benito Juárez, Quintana Roo","No especificado","El corporativo Mia Hotels & Resorts está en búsqueda de Web Master.ObjetivoEl Web máster será responsable de la administración, mantenimiento y optimización del sitio web de MÍA Reef Isla Mujeres. Su objetivo principal es garantizar una experiencia de usuario óptima, supervisar el rendimiento del sitio y coordinar con los departamentos de marketing y ventas para implementar estrategias que aumenten la conversión y retención de clientes.PerfilExperiencia de 3 años máximoExperiencia en hoteleríaConocimiento en RoibackRequerimientos: Lenguajes que debe dominar sí o sí: HTML5, CSS3, JavaScript (nivel medio, NEXT JS 10), jQuery, Bootstrap.Experiencia previa recomendada: CMS Roiback o manejo de CMS hoteleros similares.Deseable: manejo de SEO, Tag Manager y conocimientos básicos de análisis de datos (ej. carritos abandonados, conversiones).OfrecemosSalario competitivo, prestaciones de ley, seguro de vida, servicios de telemedicina 24/7.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-web-master-en-benito-juarez-908410F3B60356AD61373E686DCF3405#lc=ListOffers-Score3-2"
"Work From Home Java Team Lead / Ref. 0003E","BairesDev LLC","Guanajuato, Guanajuato","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Java Team Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a Java Team Lead in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Technically own different modules of the platform, including design, development, & integration.- Design and write clean, robust, server-side code.- Perform research and development to evaluate new technologies, and ideas and communicate value for the company.Heres what we are looking for:- 7+ years of experience in Java.- Advance agile methodologies management.- Advanced Design Patterns knowledge.- Advanced IT infrastructure knowledge.- Experience with Security.- Experience developing/integrating with large-scale applications.- Fully specialized in Backend, Frontend development areas.- Strong experience in coding reviews and managing CI/CD pipelines.- Expert understanding of the benefits/weaknesses of the clients requirements.- Advanced knowledge of the tradeoffs of choosing a certain technology.- Strong experience participating in meetings with clients, users, and stakeholders.- Experience leading teams, allocating tasks, identifying risks, decision making, estimating tasks, managing conflicts, and planning.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-java-team-lead-ref-0003e-en-guanajuato-975D02100632335661373E686DCF3405#lc=ListOffers-Score3-3"
"Work From Home Golang Tech Lead / Ref. 0138","BairesDev LLC","San Luis Potosí, San Luis Potosí","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Golang Tech Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a Golang Tech Leader in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing the innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Fostering a high-performance engineering culture whilst growing and leading your tribe.- Reviewing and contributing to code whilst utilizing best practices to balance the creation of new functionalities whilst meeting the needs of existing customers.- Collaborating with cross-regional teams to collectively design, develop and release localised MVPs.Heres what we are looking for:- 10+ years of experience working as a developer.- 7+ years of experience in Golang.- Advance agile methodologies management.- Advanced Design Patterns knowledge.- Advanced IT infrastructure knowledge.- Experience with Security.- Experience developing/integrating with large-scale applications.- Fully specialized in Backend, Frontend development areas.- Strong experience in coding reviews and managing CI/CD pipelines.- Expert understanding of the benefits/weaknesses of clients requirements.- Advanced knowledge of the tradeoffs of choosing a certain technology.- Strong experience participating in meetings with clients, users, and stakeholders.- Experience leading teams, allocating tasks, identifying risks, decision making, estimating tasks, managing conflicts, planning.- Advanced English Level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-golang-tech-lead-ref-0138-en-san-luis-potosi-6AC14C53E3DB8CD461373E686DCF3405#lc=ListOffers-Score3-4"
"Work From Home Fullstack Node + Nest + React Tech Lead / Ref. 0111","BairesDev LLC","Centro, Tabasco","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Fullstack Node + Nest + React Tech Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a Node Tech Leader in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Architect Bandit backend systems using the best practices.- Implement and iterate features in a tactical manner and at a rapid pace.- Work collaboratively and efficiently across functional teams in a fast-paced early-stage startup environment.- Design, extend, and implement APIs.- High engineering quality standards through code reviews, unit tests, and analytics.- Create engineering efficiencies through automation and development of tools.- Define engineering processes for product launches and releases.- Help us grow the world-class engineering team by running technical interviews.Heres what we are looking for:- 7+ years of experience in React/Node.- Experience with SQL and NoSQL Databases.- Experience with Microservices and the Cloud.- Experience using the Nest.js framework.- IT infrastructure knowledge.- Intermediate agile methodologies management.- Strong understanding of best practices, SOLID principles, CLEAN Code, and scalable solutions.- Knowledge of AWS (RDS, SNS, SQS, Lambda), REST, GraphQL, TypeScript, Terraform and CircleCI.- Experience developing entire applications from scratch.- Experience in automated tests, and CI/CD pipelines.- Strong experience with Version control.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-fullstack-node-nest-react-tech-lead-ref-0111-en-centro-32D9935BD9643A3161373E686DCF3405#lc=ListOffers-Score3-5"
"Analista de créditos y cobranza - Turno Completo","AUTOLINEAS JR S.A. DE C.V.","Azcapotzalco, Ciudad de México DF","$ 12,000.00","El objetivo del puesto es el de apoyar al Coordinador de Crédito y Cobranza en el seguimiento y recuperación de las cuentas por cobrar de JR Paquetería.Responsabilidades generales:- Revisar y clasificar los documentos de cuentas por cobrar por cliente y día de cobro.- Elaborar los contra recibos de los clientes por todas las facturas de cartas porte recibidas en NextPack.- Entregar los contra recibos con todos los documentos soporte al Analista de - Crédito y Cobranza (1), con la finalidad de que se gestione la entrega al cliente.- Enviar por correo electrónico los contra recibos a los clientes.- Planear la cobranza semanal que se llevará a cabo, de acuerdo con los contra recibos de los clientes.- Realizar las labores de cobranza con los clientes, ya sea por correo electrónico, llamada telefónica o a través del Mensajero.- Elaborar las notas de crédito o de cargo necesarias en NextPack, solicitando la liberación y aprobación de estas al Coordinador de Crédito y Cobranza y Coordinador de Ingresos.- Aplicar los pagos realizados por los clientes a los contra recibos correspondientes en NextPack.- Entregar al Analista de Crédito y Cobranza (1) los cortes de caja realizados con los soportes de pago para su revisión y liquidación.- Elaborar los complementos de pago para las facturas correspondientes de los clientes.Ofrecemos:- $12000 brutos mensuales (incluido bono de puntualidad)- $1000 bonos mensuales por cobranza (se paga los días 15 de cada mes)- Seguro de vida- Caja de ahorro- Utilidades- Prestaciones de ley desde el día uno- Oportunidad de crecimiento- Capacitación constante","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-creditos-y-cobranza-turno-completo-en-azcapotzalco-4EB95573E1B3A9B361373E686DCF3405#lc=ListOffers-Score3-6"
"Hyatt Abogado Jr - Corporate Cancun","AMSTAR OPERACIONES DMC MX","Benito Juárez, Quintana Roo","$ 18,000.00","Who We AreAt Hyatt, we believe in the power of belonging and creating a culture of care, where our colleagues become family. Since 1957, our colleagues and guests have been at the heart of our business and helped Hyatt become one of the world's best and fastest-growing hospitality brands. Our transformative growth and the addition of new hotels, brands, and business lines can open the door for exciting career and growth opportunities for our colleagues.As we continue to grow, we never lose sight of what’s most important: People. We turn trips into journeys, encounters into experiences, and jobs into careers.Why Now?This is an exciting time to be at Hyatt. We are growing rapidly and are looking for passionate changemakers to be a part of our journey. The hospitality industry is resilient and continues to offer dynamic opportunities for upward mobility, and Hyatt is no exception.How We Care For Our PeopleOur purpose sets us apart—to care for people so they can be their best. Every business decision is made through the lens of our purpose, and it informs how we have and will continue to support each other as members of the Hyatt family. Our care for our colleagues is the key to our success. We’re proud to have earned a place on Fortune’s prestigious 100 Best Companies to Work For® list for the last ten years. This recognition is a testament to how our Hyatt family continues to come together to care for one another, our commitment to a culture of inclusivity, empathy, and respect, and making sure everyone feels like they belong.At HYATT We are looking for Abogado Jr, you will play a key role in the legal department, supporting corporate and contractual management.Your Responsibilities:• You will draft and review contracts• You will manage legal files and corporate books• You will consult and follow up on legal matters• You will assist in litigation and dispute resolution• You will coordinate notarial and administrative proceduresYour Profile:• Law degree• 1-2 years of experience in a similar role• Intermediate-Advanced English• Proficiency in Microsoft Office Suite and video conferencing tools.Apply now and take the next step in your IT career!Care Connects Us!We care for people so they can be their best!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-hyatt-abogado-jr-corporate-cancun-en-benito-juarez-C71AB1537FC1E3D261373E686DCF3405#lc=ListOffers-Score3-7"
"Work From Home Python Tech Lead / Ref. 0071","BairesDev LLC","Querétaro, Querétaro","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Python Tech Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a Python Tech Leader in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing the innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Work closely alongside their Engineering and Business Stakeholders to support the delivery of the project.- Be able to manage your time effectively to focus on coding as well as supporting junior members.- Integrate with the DevOps team to maintain tasks.- Make architectural decisions keeping the future of a growing business in mind.Heres what we are looking for:- Advance agile methodologies management.- Advanced Design Patterns knowledge.- Advanced IT infrastructure knowledge.- Experience with Security.- Experience developing/integrating with large-scale applications.- Fully specialized in Backend, Frontend development areas.- Strong experience in coding reviews and managing CI/CD pipelines.- Expert understanding of the benefits/weaknesses of clients requirements.- Advanced knowledge of the tradeoffs of choosing a certain technology.- Strong experience participating in meetings with clients, users, and stakeholders.- Experience leading teams, allocating tasks, identifying risks, decision making, estimating tasks, managing conflicts, planning.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-python-tech-lead-ref-0071-en-queretaro-23FCA6C7A09DB1CE61373E686DCF3405#lc=ListOffers-Score3-8"
"Customer Service Especialist - Bepensa (Base salary and additional benefits)","Bepensa","Mérida, Yucatán","$ 8,212","Objective Collect past due payments to prevent accounts from rolling forward to the next bucket of delinquency. Follow all company policies and state and federal laws applicable to debt collection.We are looking for a vacancy:Customer Service RepresentativeAcademic studies:High school diploma (minimum) or Business Administration Career or RelatedWork Experience:1 year of customer service experience attending clients via phone (calls).Knowledge and skills:Customer service, administrative operations, collect past due payments, account managment, debt collectión, prevent repossesions and losses through negotiation and utilization of available programs, office (word, excel, powerpoint), advanced english (speaking proficiency).Schedule availability:Flexible schedule.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-customer-service-especialist-bepensa-base-salary-and-additional-benefits-en-merida-93A07AD8D477E0C161373E686DCF3405#lc=ListOffers-Score3-9"
"Work From Home Node Backend Tech Lead / Ref. 0111","BairesDev LLC","Juárez, Chihuahua","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Node Backend Tech Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a Node Backend Tech Lead in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Works with the team to determine the needs of the global technical architecture.- Identifies the integration points for third-party and existing systems.- Validates that all technical choices will integrate with the final solution and adhere to the technical contracts defined for integration.Heres what we are looking for:- 7+ years of experience in Node development.- Advance agile methodologies management.- Advanced Design Patterns knowledge.- Advanced IT infrastructure knowledge.- Experience with Security.- Experience developing/integrating with large-scale applications.- Fully specialized in Backend, Frontend development areas.- Strong experience in coding reviews and managing CI/CD pipelines.- Expert understanding of the benefits/weaknesses of a clients requirements.- Advanced knowledge of the tradeoffs of choosing a certain technology.- Strong experience participating in meetings with clients, users, and stakeholders.- Experience leading teams, allocating tasks, identifying risks, decision making, estimating tasks, managing conflicts, and planning.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-node-backend-tech-lead-ref-0111-en-juarez-844F07CCF54326E461373E686DCF3405#lc=ListOffers-Score3-10"
"Work From Home React Native Tech Lead / Ref. 0198","BairesDev LLC","Puebla, Puebla","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.React Native Tech Lead at BairesDevIf you are a natural leader with mentoring experience, this job is for you! As a React Native Tech Leader in our Development Team, your mission will be technically overseeing a team of experienced front and back developers. You will work in a fast-paced global team in charge of pushing the innovation to the next level. Innovation is at the heart of the BairesDev strategy.What You Will Do:- Lead a front end team of approximately 5 developers located locally and remotely.- Oversee front end coding/logic.- Integrate UI /UX and animation features.- Collaborate with engineers, designer, and product managers in an agile environment.- Plan projects (understand requirements, effort, time, budget, etc.).Heres what we are looking for:- 7+ years of experience in Front End development with strong skills in Javascript, CSS3 and HTML5.- 2+ years of experience developing Web applications using ReactJS, Flux, Redux, Relay, etc.- 2+ years of experience working with RoR.- Familiar with the concepts of basic programming, JavaScript and data structures, types of variables and idiosyncrasies.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-react-native-tech-lead-ref-0198-en-puebla-DACAA09679A9B2B961373E686DCF3405#lc=ListOffers-Score3-11"
